level,config_label,preprocessing,model_name,params_json,n_standard_spectra,n_concentration_groups,concentration_groups_mg_L,n_cv_test_concentration_groups,held_out_test_concentrations_mg_L,edge_concentrations_not_tested_mg_L,validation_design,selection_rule,fit_status,error_message,cv_rmse,cv_mae,cv_r2,cv_smape_percent,cv_mape_percent,cv_bias_mg_L,cv_median_abs_error_mg_L,cv_max_abs_error_mg_L,n_cv_test_spectra
Low,Low__sg_selected__PLSRegression__000,sg_selected,PLSRegression,"{""model__n_components"": 1}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.4320185875254981,0.3748857991627972,-5.999002248782244,89.20813402013297,79.9003636009817,-0.1201830285831406,0.392075367622505,0.6521567807769492,30
Low,Low__sg_selected__PLSRegression__001,sg_selected,PLSRegression,"{""model__n_components"": 2}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.2929666212084036,0.2565864248822777,-2.2186040428350613,65.80050580141493,47.56852599002162,-0.2196917682465403,0.3283554392102694,0.4143954745573428,30
Low,Low__sg_selected__PLSRegression__002,sg_selected,PLSRegression,"{""model__n_components"": 3}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.2274300389026031,0.2049270089607634,-0.9396658473214848,52.34285622106882,46.80927140187204,-0.0841539987070646,0.1791473966693384,0.3607065702213349,30
Low,Low__sg_selected__PLSRegression__003,sg_selected,PLSRegression,"{""model__n_components"": 5}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.342389341240715,0.2954100414030942,-3.396142287321906,80.00094144237472,75.63805453143651,0.0077427577720106,0.3882290858707944,0.4949316614289656,30
Low,Low__sg_selected__PCA_PLSRegression__004,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 1}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.4513642521701466,0.444665441222181,-6.639863305141839,117.99594081032174,95.25157431291036,-0.1994876816984243,0.4428013404988175,0.5702357183519441,30
Low,Low__sg_selected__PCA_PLSRegression__005,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 2}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.4513642521701467,0.444665441222181,-6.639863305141843,117.99594081032178,95.25157431291038,-0.1994876816984244,0.4428013404988176,0.5702357183519443,30
Low,Low__sg_selected__PCA_PLSRegression__006,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 3}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.4513642521701465,0.4446654412221809,-6.639863305141835,117.9959408103217,95.25157431291034,-0.1994876816984242,0.4428013404988175,0.5702357183519438,30
Low,Low__sg_selected__PCA_PLSRegression__007,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 10, ""model__pls__n_components"": 1}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.2885328233572252,0.2827235667201479,-2.12191963079344,63.974552704647394,67.27158656408305,-0.0581452733389119,0.2856533457994626,0.3847573736638049,30
Low,Low__sg_selected__PCA_PLSRegression__008,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 10, ""model__pls__n_components"": 2}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.2885328233572256,0.2827235667201483,-2.121919630793448,63.97455270464752,67.27158656408314,-0.0581452733389122,0.285653345799463,0.3847573736638048,30
Low,Low__sg_selected__PCA_PLSRegression__009,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 10, ""model__pls__n_components"": 3}",50,5,"0.1, 0.3, 0.5, 0.7, 1",3,"0.3, 0.5, 0.7","0.1, 1",Middle-concentration-only LeaveOneConcentrationOut within the locked level; minimum and maximum concentrations are not held out as test folds,"lowest middle-heldout level-specific CV RMSE, then MAE and sMAPE; blind labels unused",ok,,0.2885328233572256,0.2827235667201482,-2.1219196307934487,63.9745527046475,67.27158656408314,-0.0581452733389122,0.2856533457994632,0.3847573736638048,30
